url,province,region,existing_province_data_source,verified_district_names,existing_location_context,safe_local_facts,facts_not_verified,allowed_in_content
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,กาฬสินธุ์,อีสาน,scripts/data/province-districts.json,เมืองกาฬสินธุ์|กมลาไสย|กุฉินารายณ์,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/กาฬสินธุ์,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,ขอนแก่น,อีสาน,scripts/data/province-districts.json,เมืองขอนแก่น|พระยืน|ชุมแพ,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/ขอนแก่น,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,ชัยภูมิ,อีสาน,scripts/data/province-districts.json,เมืองชัยภูมิ|คอนสวรรค์|หนองบัวแดง,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/ชัยภูมิ,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,นครพนม,อีสาน,scripts/data/province-districts.json,เมืองนครพนม|ท่าอุเทน|ธาตุพนม,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/นครพนม,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,นครราชสีมา,อีสาน,scripts/data/province-districts.json,เมืองนครราชสีมา|เสิงสาง|บ้านเหลื่อม,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/นครราชสีมา,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,บึงกาฬ,อีสาน,scripts/data/province-districts.json,เมืองบึงกาฬ|โซ่พิสัย|ปากคาด,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/บึงกาฬ,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,บุรีรัมย์,อีสาน,scripts/data/province-districts.json,เมืองบุรีรัมย์|กระสัง|หนองกี่,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/บุรีรัมย์,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,มหาสารคาม,อีสาน,scripts/data/province-districts.json,เมืองมหาสารคาม|โกสุมพิสัย|เชียงยืน,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/มหาสารคาม,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,มุกดาหาร,อีสาน,scripts/data/province-districts.json,เมืองมุกดาหาร|ดอนตาล|คำชะอี,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/มุกดาหาร,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,ยโสธร,อีสาน,scripts/data/province-districts.json,เมืองยโสธร|กุดชุม|ป่าติ้ว,areaSlug + location hub page,ชื่อจังหวัด; อำเภอตัวอย่างจาก dataset; ลิงก์ /พื้นที่ให้บริการ/ยโสธร,ระยะทาง;จุดนัดรับ;ทีมพื้นที่;ความถี่เข้าพื้นที่,yes — districts as notify-examples only
