"Query","Target page","Clicks","Impressions","CTR","Position","Intent","Current ranking page","Correct target page","Cannibalization","Recommended action"
"รับซื้อสินค้าไอที","/","99 (page estimate)","2839 (page estimate)","3.49%","4.88","Transactional/brand","Homepage (reference)","/","Monitor service overlap","Shorten title; retain national positioning and brand"
"รับซื้อแรม","/บริการ/รับซื้อแรม","31 (page estimate)","469 (page estimate)","6.61%","10.17","Transactional","RAM service (reference)","/บริการ/รับซื้อแรม","Product × province support only","Retain primary title; strengthen verifiable valuation guidance"
"รับซื้อคอมพิวเตอร์","/บริการ/รับซื้อคอมพิวเตอร์","8 (page estimate)","119 (page estimate)","6.72%","16.79","Transactional","Computer service (reference)","/บริการ/รับซื้อคอมพิวเตอร์","Overlap with desktop/custom/gaming hubs","Clarify this URL as broad desktop/computer hub"
"รับซื้อสินค้าไอที อุดรธานี","/พื้นที่ให้บริการ/อุดรธานี","9 (page estimate)","200 (page estimate)","4.50%","8.93","Local transactional","Udon area page (reference)","/พื้นที่ให้บริการ/อุดรธานี","Product × province pages support","Use truthful online-first fulfillment wording"
"รับซื้อสินค้าไอที ขอนแก่น","/พื้นที่ให้บริการ/ขอนแก่น","5 (page estimate)","163 (page estimate)","3.07%","9.04","Local transactional","Khon Kaen area page (reference)","/พื้นที่ให้บริการ/ขอนแก่น","Product × province pages support","Put LINE/photo valuation value in title"
"รับซื้อสินค้าไอที โคราช","/พื้นที่ให้บริการ/นครราชสีมา","2 (page estimate)","119 (page estimate)","1.68%","9.25","Local transactional","Nakhon Ratchasima area page (reference)","/พื้นที่ให้บริการ/นครราชสีมา","Alias wording gap","Add โคราช to title/H1 without claiming local branch"
"รับซื้อสินค้าไอที กาฬสินธุ์","/พื้นที่ให้บริการ/กาฬสินธุ์","2 (page estimate)","86 (page estimate)","2.33%","8.40","Local transactional","Kalasin area page (reference)","/พื้นที่ให้บริการ/กาฬสินธุ์","Product × province pages support","Differentiate with online-first process"
"วิธีเช็กรุ่น iPad ว่าเป็น Gen ไหน","/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน","2 (page estimate)","253 (page estimate)","0.79%","9.71","Informational","iPad identification article (reference)","/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน","No intent conflict with service page","Add Axxxx to title and immediate answer/table"
"รับซื้อ iPad","/บริการ/รับซื้อ-ipad","UNVERIFIED","UNVERIFIED","UNVERIFIED","UNVERIFIED","Transactional","UNVERIFIED","/บริการ/รับซื้อ-ipad","Article supports; not primary","Keep conversion link from informational article"

