url,section_order,section_heading,user_question,content_source,verified_facts,unique_to_page,overlap_with_hub,action,acceptance_criteria
/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,1,สิ่งที่ควรถ่ายรูปก่อนประเมินของสะสม,prepare/inspect,/บริการ/รับซื้อของสะสม;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,2,ขายที่หน้าร้านอุบล หรือนัดตรวจรับ,store_or_appointment,/บริการ/รับซื้อของสะสม;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี,1,เตรียมอะไรก่อนนัดขายเครื่องใช้ไฟฟ้าในอุบล,prepare/inspect,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี,2,หน้าร้านอุบลกับการนัดรับชิ้นใหญ่,store_or_appointment,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อโดรน-อุบลราชธานี,1,จุดตรวจเฉพาะโดรนที่ควรเตรียมข้อมูล,prepare/inspect,/บริการ/รับซื้อโดรน;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อโดรน-อุบลราชธานี,2,ส่งมอบในอุบลอย่างไร,store_or_appointment,/บริการ/รับซื้อโดรน;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อทีวี-อุบลราชธานี,1,ข้อมูลและรูปที่ควรส่งตอนประเมินทีวี,prepare/inspect,/บริการ/รับซื้อทีวี;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อทีวี-อุบลราชธานี,2,นัดรับทีวีในอุบลกับหน้าร้าน,store_or_appointment,/บริการ/รับซื้อทีวี;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี,1,สิ่งที่ช่วยให้ประเมินเฟอร์นิเจอร์ในอุบลได้ชัดขึ้น,prepare/inspect,/บริการ/รับซื้อเฟอร์นิเจอร์;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี,2,ตรวจที่ร้านหรือนัดขนออกในอุบล,store_or_appointment,/บริการ/รับซื้อเฟอร์นิเจอร์;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้ออุปกรณ์-network-อุบลราชธานี,1,ข้อมูลที่ควรเตรียมก่อนประเมินอุปกรณ์ Network,prepare/inspect,/บริการ/รับซื้ออุปกรณ์-network;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
/รับซื้อ/รับซื้ออุปกรณ์-network-อุบลราชธานี,2,ส่งมอบล็อต Network ในอุบล,store_or_appointment,/บริการ/รับซื้ออุปกรณ์-network;area-ubon;site.ts,payment-qualified;store-address;no-daily-pickup-guarantee,yes,shared_process_facts_only,add,visible_section+faq≥2+no_unsupported_claims
