url,province,section_order,section_heading,user_question,verified_source,business_rule,province_specific_context,unique_to_page,overlap_with_hub,action,acceptance_criteria
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,กาฬสินธุ์,1,pattern_A_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองกาฬสินธุ์, กมลาไสย, กุฉินารายณ์",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,ขอนแก่น,1,pattern_B_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองขอนแก่น, พระยืน, ชุมแพ",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ,ชัยภูมิ,1,pattern_C_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองชัยภูมิ, คอนสวรรค์, หนองบัวแดง",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม,นครพนม,1,pattern_A_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองนครพนม, ท่าอุเทน, ธาตุพนม",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา,นครราชสีมา,1,pattern_B_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองนครราชสีมา, เสิงสาง, บ้านเหลื่อม",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ,บึงกาฬ,1,pattern_C_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองบึงกาฬ, โซ่พิสัย, ปากคาด",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์,บุรีรัมย์,1,pattern_A_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองบุรีรัมย์, กระสัง, หนองกี่",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม,มหาสารคาม,1,pattern_B_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองมหาสารคาม, โกสุมพิสัย, เชียงยืน",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร,มุกดาหาร,1,pattern_C_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองมุกดาหาร, ดอนตาล, คำชะอี",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ยโสธร,ยโสธร,1,pattern_A_unique_sections,ประเมิน/ส่งมอบจากจังหวัดนี้อย่างไร,owner BD-01; store NAP; province-districts.json; hub,KEEP_EXISTING_URLS_AND_IMPROVE; conditional service; no auto large shipping,"เมืองยโสธร, กุดชุม, ป่าติ้ว",yes,shared payment + category examples only,rewrite_body_add_faqs,>=3 unique value types; no branch claims; metadata preserved
