decision_group_id,url,field,current_claim,claim_type,business_fact_confirmed,risk,recommended_action_after_decision
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,title,รับซื้อ เครื่องใช้ไฟฟ้ามือสอง กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,h1,รับซื้อ เครื่องใช้ไฟฟ้ามือสอง กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,description,รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ใน กาฬสินธุ์ ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์,h1,local service claim for กาฬสินธุ์,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,title,รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง | Amphon.co.th,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,h1,รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,description,รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ใน ขอนแก่น ประเมินราคาตามประเภท รุ่น สเปก สภาพ จำนวน และความต้องการตลาด ประเมินราคาฟรีผ่าน Line ชำระเงินหลังตรวจสอบสินค้าและตกลงราคาเรียบร้อยแล้ว มีบริการนัดรับหรือประสานขนส่งตามข้อตกลง,SERVICE_OFFERING,partial — store facts confirmed; service scope UNKNOWN,low,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,meta+h1,mentions pickup,PICKUP,partial — store facts confirmed; service scope UNKNOWN,medium,align claims with owner answer; do not invent branch language
BD-01,/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น,h1,local service claim for ขอนแก่น,LOCATION,no — remote service model only confirmed,medium-fake-local-risk,align claims with owner answer; do not invent branch language
