url,source_file,page_type,group_id,primary_intent,business_value,content_gap,safe_facts_available,business_input_required,gsc_blocker,cannibalization_risk,template_relationship,selected,reason
/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,src/content/serviceAreas/รับซื้อของสะสม-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อของสะสม,local-commercial,higher-store-province,store-process;collectibles-photo-checklist;appointment-limits,yes,no,no,medium,ubon-service-area-secondary-services,yes,Low-risk IMPROVE; verified store+hub facts; cohesive family
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,local-commercial,higher-store-province,appliance-prep;large-item-pickup;store-vs-appointment,yes,no,no,medium,ubon-service-area-secondary-services,yes,Low-risk IMPROVE; verified store+hub facts; cohesive family
/รับซื้อ/รับซื้อโดรน-อุบลราชธานี,src/content/serviceAreas/รับซื้อโดรน-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อโดรน,local-commercial,higher-store-province,drone-inspection-points;battery-cycle-photos;bundle-completeness,yes,no,no,medium,ubon-service-area-secondary-services,yes,Low-risk IMPROVE; verified store+hub facts; cohesive family
/รับซื้อ/รับซื้อทีวี-อุบลราชธานี,src/content/serviceAreas/รับซื้อทีวี-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อทีวี,local-commercial,higher-store-province,tv-condition-policy;size-transport;photo-checklist,yes,no,no,medium,ubon-service-area-secondary-services,yes,Low-risk IMPROVE; verified store+hub facts; cohesive family
/รับซื้อ/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี,src/content/serviceAreas/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อเฟอร์นิเจอร์,local-commercial,higher-store-province,lot-assessment;access-constraints;office-home-split,yes,no,no,medium,ubon-service-area-secondary-services,yes,Low-risk IMPROVE; verified store+hub facts; cohesive family
/รับซื้อ/รับซื้ออุปกรณ์-network-อุบลราชธานี,src/content/serviceAreas/รับซื้ออุปกรณ์-network-อุบลราชธานี.md,service-x-location,G-SA-รับซื้ออุปกรณ์-network,local-commercial,higher-store-province,part-number-checklist;factory-reset;enterprise-lot,yes,no,no,medium,ubon-service-area-secondary-services,yes,Low-risk IMPROVE; verified store+hub facts; cohesive family
/รับซื้อ/รับซื้อ-server-อุบลราชธานี,src/content/serviceAreas/รับซื้อ-server-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อ-server,local-commercial,higher-store-province,blog-depth,partial,no,no,medium,out-of-pilot-family,no,same family but deferred to keep pilot ≤7; specialized B2B depth later
/รับซื้อ/รับซื้อ-ups-อุบลราชธานี,src/content/serviceAreas/รับซื้อ-ups-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อ-ups,local-commercial,higher-store-province,blog-depth,partial,no,no,medium,out-of-pilot-family,no,same family deferred; keep pilot cohesive product mix
/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง,src/content/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง.md,blog-article,G-BLOG-THIN,informational,supporting-content,blog-depth,partial,no,no,medium,out-of-pilot-family,no,different template family (blog)
/blog/คอมบริษัทเก่า-ขายยังไง,src/content/blog/คอมบริษัทเก่า-ขายยังไง.md,blog-article,G-BLOG-THIN,informational,supporting-content,blog-depth,partial,no,no,medium,out-of-pilot-family,no,different template family (blog)
/blog/โน๊ตบุ๊คเสีย-ขายได้ไหม,src/content/blog/โน๊ตบุ๊คเสีย-ขายได้ไหม.md,blog-article,G-BLOG-THIN,informational,supporting-content,blog-depth,partial,no,no,medium,out-of-pilot-family,no,different template family (blog)
/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม,src/content/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม.md,blog-article,G-BLOG-THIN,informational,supporting-content,blog-depth,partial,no,no,medium,out-of-pilot-family,no,different template family (blog)
/blog/วิธีเช็กราคาก่อนขายโน๊ตบุ๊คมือสอง,src/content/blog/วิธีเช็กราคาก่อนขายโน๊ตบุ๊คมือสอง.md,blog-article,G-BLOG-THIN,informational,supporting-content,blog-depth,partial,no,no,medium,out-of-pilot-family,no,different template family (blog)
/blog/วิธีเตรียมเครื่องก่อนขายสินค้าไอที,src/content/blog/วิธีเตรียมเครื่องก่อนขายสินค้าไอที.md,blog-article,G-BLOG-THIN,informational,supporting-content,blog-depth,partial,no,no,medium,out-of-pilot-family,no,different template family (blog)
