File,Type,Reason
src/content/services/รับซื้อ-gopro-action-camera.md,Source page,"Correct camera Ubon link"
src/content/services/รับซื้อกล้อง-canon.md,Source page,"Correct camera Ubon link"
src/content/services/รับซื้อกล้อง-fujifilm.md,Source page,"Correct camera Ubon link"
src/content/services/รับซื้อกล้อง-mirrorless.md,Source page,"Correct route and contextual anchor"
src/content/services/รับซื้อกล้อง-nikon.md,Source page,"Correct camera Ubon link"
src/content/services/รับซื้อกล้อง-sony.md,Source page,"Correct camera Ubon link"
src/content/services/รับซื้อกล้องฟิล์ม.md,Source page,"Correct camera Ubon link"
src/content/services/รับซื้อกล้องเสีย.md,Source page,"Correct route and contextual anchor"
src/content/services/รับซื้อเลนส์กล้อง.md,Source page,"Correct route and contextual anchor"
src/content/areas/อุบลราชธานี.md,Area source,"Correct two computer Ubon links only; no page rewrite"
src/config/seo-policy.ts,SEO policy,"Remove reversed redirect from a real route to a nonexistent route"
vercel.json,Redirect configuration,"Remove matching reversed production redirect"
scripts/check-redirect-chains.mjs,Regression test,"Remove obsolete redirect expectation"
scripts/check-vercel-redirect-match.mjs,Regression test,"Remove obsolete exact redirect fixture"
scripts/browser-qa.mjs,Regression test,"Use the real computer Ubon route as canonical QA page"
docs/batch-6-1-legacy-link-cleanup/batch-6-1-broken-links-baseline.csv,Report,"Record all 11 baseline failures"
docs/batch-6-1-legacy-link-cleanup/batch-6-1-broken-links-fixed.csv,Report,"Record old and final URLs"
docs/batch-6-1-legacy-link-cleanup/batch-6-1-orphan-pages-audit.csv,Report,"Record four legacy orphan decisions and GSC evidence"
docs/batch-6-1-legacy-link-cleanup/batch-6-1-files-changed.csv,Report,"Record isolated file scope"
docs/batch-6-1-legacy-link-cleanup/batch-6-1-qa-report.md,Report,"Record commands and exit codes"
docs/batch-6-1-legacy-link-cleanup/batch-6-1-final-report.md,Report,"Summarize final outcome and safeguards"
