proposed_batch,decision_group_ids,url_count,action_type,risk,dependencies,expected_sitemap_diff,expected_redirect_count,requires_gsc,requires_owner_approval
Batch 12G-1,BD-01,19,priority_A_trust_service_or_redirect_after_owner,large-item-fulfilment;fake-local-service,owner answer for BD-01; valid target /บริการ/รับซื้อเครื่องใช้ไฟฟ้า,0 if A/C/E; -19 if B/D redirect-all,0 or 19,recommended_before_mass_merge,yes
Batch 12H-1,BD-02,19,priority_B_keep_improve_or_merge_after_owner,fake-local-service;long-tail-unknown,owner answer for BD-02; valid target /บริการ/รับซื้อทีวี,0 if A/C/E; -19 if B/D redirect-all,0 or 19,recommended_before_mass_merge,yes
Batch 12H-2,BD-03,19,priority_B_keep_improve_or_merge_after_owner,condition-ambiguity;long-tail-unknown,owner answer for BD-03; valid target /บริการ/รับซื้อโดรน,0 if A/C/E; -19 if B/D redirect-all,0 or 19,recommended_before_mass_merge,yes
Batch 12H-3,BD-04,19,priority_B_keep_improve_or_merge_after_owner,b2b-ambiguity;long-tail-unknown,owner answer for BD-04; valid target /บริการ/รับซื้ออุปกรณ์-network,0 if A/C/E; -19 if B/D redirect-all,0 or 19,recommended_before_mass_merge,yes
Batch 12G-2,BD-05,19,priority_A_trust_service_or_redirect_after_owner,b2b-ambiguity;large-item-fulfilment;data-wipe,owner answer for BD-05; valid target /บริการ/รับซื้อ-server,0 if A/C/E; -19 if B/D redirect-all,0 or 19,recommended_before_mass_merge,yes
Batch 12G-3,BD-06,19,priority_A_trust_service_or_redirect_after_owner,battery-condition;large-item-fulfilment,owner answer for BD-06; valid target /บริการ/รับซื้อ-ups,0 if A/C/E; -19 if B/D redirect-all,0 or 19,recommended_before_mass_merge,yes
Batch 12G-4,BD-07,20,priority_A_trust_service_or_redirect_after_owner,auction-bulk-ambiguity;ownership-docs;fake-local-service,owner answer for BD-07; valid target /บริการ/รับเหมาประมูลอุปกรณ์ไอที,0 if A/C/E; -20 if B/D redirect-all,0 or 20,recommended_before_mass_merge,yes
Batch 12I,owner_selected_merge_pilot (5-19 URLs from any BD answering B),5-19,confirmed_merge_pilot,medium,at least one group answered B + hub valid,-pilot_count,pilot_count,strongly_recommended,yes
Batch 12J,remaining_B_or_D_after_12I,remainder,remaining_merge_or_redirect,medium-high,12I lessons + optional GSC,-remainder,remainder,recommended,yes
NOTE — Remaining MERGE furniture (out of 12F RBD),G-SA-รับซื้อเฟอร์นิเจอร์,19,separate_MERGE_family_not_in_RBD_set,medium,owner furniture policy; pattern similar to collectibles 12B/12C,-19_if_merged,19,recommended,yes
