source_url,classification,proposed_target_url,source_intent,target_intent,intent_match,source_unique_value,content_to_merge,gsc_risk,external_link_risk,internal_link_count,sitemap_impact,canonical_impact,redirect_chain_risk,human_review_required,recommendation
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในกาฬสินธุ์ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในขอนแก่น เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในชัยภูมิ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในนครพนม เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในนครราชสีมา เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในบึงกาฬ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในบุรีรัมย์ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในมหาสารคาม เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในมุกดาหาร เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในยโสธร เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-ร้อยเอ็ด","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในร้อยเอ็ด เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-เลย","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในเลย เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
"/รับซื้อ/รับซื้อของสะสม-ศรีสะเกษ","MERGE","/บริการ/รับซื้อของสะสม","local-commercial-secondary","commercial-national-service","partial-to-strong","low-template","none-material;optional-district-list-if-verified","unknown-requires-export","unknown","2","remove-source-after-redirect","none-if-301-to-self-canonical-target","low-if-target-final","yes","หน้า รับซื้อของสะสม ในศรีสะเกษ เปลี่ยนเพียงชื่อจังหวัดจาก Template เดียวกับจังหวัดอื่น ไม่มีขั้นตอนรับสินค้า/จุดนัดหมาย/ข้อจำกัดเฉพาะพื้นที่ที่แตกต่าง และ Intent เชิงพาณิชย์ทับซ้อนกับ /บริการ/รับซื้อของสะสม มากกว่าหน้าพื้นที่ทั่วไป — จัดเป็น MERGE candidate ไปยัง Service Hub (ต้อง Human Review + ยืนยันว่าไม่ต้องการ long-tail ท้องถิ่นก่อน Implementation)"
