File,Type,Cluster,Reason
src/config/service-clusters.ts,Architecture,Shared,"Create distinct Tablet/iPad/Phone/iPhone clusters and bounded related-link priorities"
src/layouts/ServiceLayout.astro,Schema,iPhone,"Remove OfferCatalog wording that implied purchase while locked"
src/content/services/รับซื้อ-ipad.md,Content,iPad,"Clarify hub ownership and Apple Account/Find My/Activation Lock/MDM requirements"
src/content/services/รับซื้อ-ipad-เสีย.md,Content,iPad,"Require lawful account and MDM removal; remove conditional locked-device pricing"
src/content/services/รับซื้อ-ipad-air.md,Content,iPad,"Remove unsupported certainty and restate preliminary versus final assessment"
src/content/services/รับซื้อ-ipad-gen.md,Content,iPad,"Replace exact-price implication with inspection-based final pricing"
src/content/services/รับซื้อ-ipad-mini.md,Content,iPad,"Replace guaranteed market claim with conditional assessment factors"
src/content/blog/ipad-ติด-icloud-ขายได้ไหม.md,Content,iPad,"Expand focused safety guide with current terminology and Apple sources"
src/content/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน.md,Content,iPad,"Fix duplicate rendered H1 while preserving proven metadata"
src/content/services/รับซื้อ-iphone.md,Content,iPhone,"Clarify Phone Hub relationship, child intent and ownership safeguards"
src/content/services/รับซื้อ-iphone-ติด-icloud.md,Content,iPhone,"Reposition as post-unlock assessment service"
src/content/services/รับซื้อ-iphone-13.md,Internal link,iPhone,"Correct broken Ubon location route"
src/content/services/รับซื้อ-iphone-14.md,Internal link,iPhone,"Correct broken Ubon location route"
src/content/services/รับซื้อ-iphone-15.md,Internal anchor,iPhone,"Rename iCloud child anchor to post-unlock intent"
src/content/services/รับซื้อ-iphone-16.md,Internal anchor,iPhone,"Rename iCloud child anchor to post-unlock intent"
src/content/services/รับซื้อ-iphone-17.md,Content/Metadata,iPhone,"Correct safety language and duplicate site suffix"
src/content/services/รับซื้อ-iphone-face-id-เสีย.md,Internal link,iPhone,"Correct broken Ubon location route"
src/content/services/รับซื้อ-iphone-pro-max.md,Internal anchor,iPhone,"Rename iCloud child anchor to post-unlock intent"
src/content/services/รับซื้อ-iphone-จอแตก.md,Content/Internal link,iPhone,"Correct route and disallow purchase when ownership cannot be verified"
src/content/services/รับซื้อ-iphone-เครื่องนอก.md,Internal link,iPhone,"Correct broken Ubon location route"
src/content/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย.md,Content,iPhone,"Assign informational ownership and current Apple terminology"
src/content/blog/ราคา-iphone-มือสอง-2026.md,Content,iPhone,"Remove implication that locked devices merely receive a lower price"
docs/batch-6-ipad-iphone-clusters/batch-6-repository-baseline.md,Report,Shared,"Record safe starting state"
docs/batch-6-ipad-iphone-clusters/ipad-content-inventory.csv,Report,iPad,"Inventory 35 iPad-related URLs"
docs/batch-6-ipad-iphone-clusters/iphone-content-inventory.csv,Report,iPhone,"Inventory 42 iPhone-related URLs"
docs/batch-6-ipad-iphone-clusters/batch-6-gsc-query-audit.csv,Report,Shared,"Record 72 relevant GSC query rows"
docs/batch-6-ipad-iphone-clusters/batch-6-query-ownership.csv,Report,Shared,"Assign query groups to owners"
docs/batch-6-ipad-iphone-clusters/batch-6-ipad-cluster-map.md,Report,iPad,"Document iPad hierarchy"
docs/batch-6-ipad-iphone-clusters/batch-6-iphone-cluster-map.md,Report,iPhone,"Document iPhone hierarchy"
docs/batch-6-ipad-iphone-clusters/batch-6-cluster-architecture.csv,Report,Shared,"Record cluster tiers and parent/child relationships"
docs/batch-6-ipad-iphone-clusters/batch-6-cannibalization-audit.csv,Report,Shared,"Classify probable/possible overlap without unsupported confirmation"
docs/batch-6-ipad-iphone-clusters/batch-6-internal-links-before-after.csv,Report,Shared,"Record intent and route corrections"
docs/batch-6-ipad-iphone-clusters/batch-6-metadata-before-after.csv,Report,Shared,"Record evidence-based metadata changes"
docs/batch-6-ipad-iphone-clusters/batch-6-pages-created.csv,Report,Shared,"Confirm no thin pages were created"
docs/batch-6-ipad-iphone-clusters/batch-6-files-changed.csv,Report,Shared,"File-level scope ledger"
docs/batch-6-ipad-iphone-clusters/batch-6-qa-report.md,Report,Shared,"Technical and browser QA evidence"
docs/batch-6-ipad-iphone-clusters/batch-6-final-report.md,Report,Shared,"Executive delivery report"
docs/batch-6-ipad-iphone-clusters/screenshots/ipad-hub-desktop.png,Screenshot,iPad,"Desktop visual QA evidence"
docs/batch-6-ipad-iphone-clusters/screenshots/iphone-hub-desktop.png,Screenshot,iPhone,"Desktop visual QA evidence"
docs/batch-6-ipad-iphone-clusters/screenshots/ipad-safety-guide-mobile.png,Screenshot,iPad,"Mobile visual QA evidence"
docs/batch-6-ipad-iphone-clusters/screenshots/iphone-safety-guide-mobile.png,Screenshot,iPhone,"Mobile visual QA evidence"
