url,group_id,missing_user_value,required_unique_sections,verified_facts_needed,business_input_needed,safe_existing_sources,prohibited_claims,minimum_acceptance_criteria,recommended_batch
"/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี","G-SA-รับซื้อของสะสม","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้อของสะสม;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้อเครื่องใช้ไฟฟ้า;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/รับซื้อ/รับซื้อโดรน-อุบลราชธานี","G-SA-รับซื้อโดรน","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้อโดรน;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/รับซื้อ/รับซื้อทีวี-อุบลราชธานี","G-SA-รับซื้อทีวี","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้อทีวี;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/รับซื้อ/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี","G-SA-รับซื้อเฟอร์นิเจอร์","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้อเฟอร์นิเจอร์;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/รับซื้อ/รับซื้ออุปกรณ์-network-อุบลราชธานี","G-SA-รับซื้ออุปกรณ์-network","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้ออุปกรณ์-network;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/รับซื้อ/รับซื้อ-server-อุบลราชธานี","G-SA-รับซื้อ-server","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้อ-server;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/รับซื้อ/รับซื้อ-ups-อุบลราชธานี","G-SA-รับซื้อ-ups","province-specific-process;pickup-constraints;no-branch-disclaimer;service-prep-checklist","how-evaluation-works-here;what-to-prepare;appointment-limits;district-notes-if-verified","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples","/บริการ/รับซื้อ-ups;/พื้นที่ให้บริการ/อุบลราชธานี;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12B-sa-improve-ubon-or-pilot"
"/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง","G-BLOG-THIN","depth-on-topic-steps-risks-examples","checklist;edge-cases;link-to-matching-service","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples",";;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12C-blog-improve"
"/blog/คอมบริษัทเก่า-ขายยังไง","G-BLOG-THIN","depth-on-topic-steps-risks-examples","checklist;edge-cases;link-to-matching-service","no-fake-branch;no-guaranteed-pickup;store-only-in-ubon","optional-local-examples",";;/วิธีการรับซื้อ;/contact","สาขา;ทีมประจำจังหวัด;จ่ายทันทีโดยไม่มีเงื่อนไข;รับทุกเครื่อง","มีขั้นตอนเฉพาะประเภทสินค้า;มีข้อจำกัดการนัดรับที่ถูกต้อง;ไม่มีสาขาปลอม;ไม่ซ้ำ Hub ทั้งหน้า;FAQ เฉพาะอย่างน้อย 2 ข้อ","12C-blog-improve"
