fix_id,url,root_cause,recommended_action,source_file_to_change,redirect_source,redirect_target,status_code,restore_route,sitemap_action,canonical_action,internal_link_action,encoding_action,gsc_action,risk,rollback,owner_approval_required
F1,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-สกลนคร,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-hdd-สกลนคร,/รับซื้อ/รับซื้อ-ssd-สกลนคร,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F2,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-นครพนม,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-hdd-นครพนม,/รับซื้อ/รับซื้อ-ssd-นครพนม,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F3,https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-เลย,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-gopro-เลย,/บริการ/รับซื้อ-gopro-action-camera,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F4,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-อุดรธานี,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อเลนส์-อุดรธานี,/บริการ/รับซื้อเลนส์กล้อง,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F5,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-นครพนม,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อเลนส์-นครพนม,/บริการ/รับซื้อเลนส์กล้อง,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F6,https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-อุดรธานี,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-gopro-อุดรธานี,/บริการ/รับซื้อ-gopro-action-camera,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F7,https://amphon.co.th/รับซื้อ/รับซื้อ-hdd-หนองบัวลำภู,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-hdd-หนองบัวลำภู,/รับซื้อ/รับซื้อ-ssd-หนองบัวลำภู,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F8,https://amphon.co.th/รับซื้อ/รับซื้อ-gopro-บึงกาฬ,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อ-gopro-บึงกาฬ,/บริการ/รับซื้อ-gopro-action-camera,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F9,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-ชัยภูมิ,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อเลนส์-ชัยภูมิ,/บริการ/รับซื้อเลนส์กล้อง,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
F10,https://amphon.co.th/รับซื้อ/รับซื้อเลนส์-หนองคาย,curl UTF-8 Location follow → 200 at replacement. Location is raw UTF-8 (not percent-encoded). Strict clients (Node fetch; likely some bots/GSC) mis-decode → mojibake path → 404. Do not restore retired routes.,Percent-encode vercel.json redirect destinations (ASCII-only Location),vercel.json,/รับซื้อ/รับซื้อเลนส์-หนองคาย,/บริการ/รับซื้อเลนส์กล้อง,308,no,none,none,none,percent-encode destinations sitewide for Thai paths,Re-crawl / Validate Fix in GSC after fix,medium,revert vercel.json,yes
