url,source_file,page_type,group_id,classification,implementation_priority,business_value,primary_intent,closest_competing_url,cannibalization_risk,gsc_status,business_input_needed,missing_user_value,required_unique_sections,safe_existing_sources,pilot_eligible,reason
/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี,src/content/serviceAreas/รับซื้อของสะสม-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อของสะสม,IMPROVE,P1,higher-store-province,local-commercial,/บริการ/รับซื้อของสะสม,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,store-process;collectibles-photo-checklist;appointment-limits,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,yes,Ubon store province + verified hub facts; same SA template family
/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี,src/content/serviceAreas/รับซื้อเครื่องใช้ไฟฟ้า-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อเครื่องใช้ไฟฟ้า,IMPROVE,P1,higher-store-province,local-commercial,/บริการ/รับซื้อเครื่องใช้ไฟฟ้า,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,appliance-prep;large-item-pickup;store-vs-appointment,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,yes,Ubon store province + verified hub facts; same SA template family
/รับซื้อ/รับซื้อโดรน-อุบลราชธานี,src/content/serviceAreas/รับซื้อโดรน-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อโดรน,IMPROVE,P1,higher-store-province,local-commercial,/บริการ/รับซื้อโดรน,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,drone-inspection-points;battery-cycle-photos;bundle-completeness,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,yes,Ubon store province + verified hub facts; same SA template family
/รับซื้อ/รับซื้อทีวี-อุบลราชธานี,src/content/serviceAreas/รับซื้อทีวี-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อทีวี,IMPROVE,P1,higher-store-province,local-commercial,/บริการ/รับซื้อทีวี,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,tv-condition-policy;size-transport;photo-checklist,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,yes,Ubon store province + verified hub facts; same SA template family
/รับซื้อ/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี,src/content/serviceAreas/รับซื้อเฟอร์นิเจอร์-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อเฟอร์นิเจอร์,IMPROVE,P1,higher-store-province,local-commercial,/บริการ/รับซื้อเฟอร์นิเจอร์,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,lot-assessment;access-constraints;office-home-split,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,yes,Ubon store province + verified hub facts; same SA template family
/รับซื้อ/รับซื้ออุปกรณ์-network-อุบลราชธานี,src/content/serviceAreas/รับซื้ออุปกรณ์-network-อุบลราชธานี.md,service-x-location,G-SA-รับซื้ออุปกรณ์-network,IMPROVE,P1,higher-store-province,local-commercial,/บริการ/รับซื้ออุปกรณ์-network,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,part-number-checklist;factory-reset;enterprise-lot,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,yes,Ubon store province + verified hub facts; same SA template family
/รับซื้อ/รับซื้อ-server-อุบลราชธานี,src/content/serviceAreas/รับซื้อ-server-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อ-server,IMPROVE,P1,higher-store-province,local-commercial,,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,topic-depth,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,no,same family but deferred to keep pilot ≤7; specialized B2B depth later
/รับซื้อ/รับซื้อ-ups-อุบลราชธานี,src/content/serviceAreas/รับซื้อ-ups-อุบลราชธานี.md,service-x-location,G-SA-รับซื้อ-ups,IMPROVE,P1,higher-store-province,local-commercial,,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,topic-depth,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,no,same family deferred; keep pilot cohesive product mix
/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง,src/content/blog/ขาย-iphone-มือสอง-ต้องเตรียมอะไรบ้าง.md,blog-article,G-BLOG-THIN,IMPROVE,P2,supporting-content,informational,,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,topic-depth,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,no,different template family (blog)
/blog/คอมบริษัทเก่า-ขายยังไง,src/content/blog/คอมบริษัทเก่า-ขายยังไง.md,blog-article,G-BLOG-THIN,IMPROVE,P2,supporting-content,informational,,medium,GSC_NOT_AVAILABLE,no_for_verified_store_and_hub_facts,topic-depth,prep-checklist;local-process;product-specific-faq,service-hub;area-ubon;site-config;contact,no,different template family (blog)
