"file","line","matched_text","context","classification","action","reason"
"src/content/services/รับซื้อ-notebook-acer.md","3","ประเมินฟรี จ่ายทันที","H1 frontmatter","F-05 confirmed","fixed","Unqualified H1"
"src/content/services/รับซื้อ-notebook-asus.md","3","ประเมินฟรี จ่ายทันที","H1 frontmatter","F-05 confirmed","fixed","Unqualified H1"
"src/content/services/รับซื้อ-notebook-dell.md","3","ประเมินฟรี จ่ายทันที","H1 frontmatter","F-05 confirmed","fixed","Unqualified H1"
"src/content/services/รับซื้อ-notebook-hp.md","3","ประเมินฟรี จ่ายทันที","H1 frontmatter","F-05 confirmed","fixed","Unqualified H1"
"src/content/services/รับซื้อ-notebook-lenovo.md","3","ประเมินฟรี จ่ายทันที","H1 frontmatter","F-05 confirmed","fixed","Unqualified H1"
"src/content/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม.md","16","จ่ายทันทีหลังตรวจเครื่องและตกลงราคาหน้างาน","FAQ answer","Legitimate contextual use","no_change","Already qualified"
"src/content/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม.md","24","จ่ายเงินทันที","Intro paragraph","F-05 confirmed","fixed","Unqualified body claim"
"src/content/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม.md","30","โอนทันทีเมื่อตกลง","Safety bullet","F-05 confirmed","fixed","Clarified inspection condition"
"src/content/blog/ราคา-ipad-มือสอง-2026.md","96","จ่ายเงินทันที","CTA paragraph","F-05 confirmed","fixed","Unqualified CTA"
"src/content/blog/ราคา-macbook-มือสอง-2026.md","122","จ่ายเงินทันที","CTA paragraph","F-05 confirmed","fixed","Unqualified CTA"
"src/content/services/รับซื้อหูฟัง.md","32","ได้เงินทันที","H2 heading","ADDITIONAL CONFIRMED INSTANCE","deferred","Out of F-05 URL list; not same notebook/blog set"
"src/content/services/รับซื้ออุปกรณ์คอมพิวเตอร์.md","31","ได้เงินทันที","H2 heading","ADDITIONAL CONFIRMED INSTANCE","deferred","Out of F-05 URL list"
"src/content/services/รับซื้อกล้อง-nikon.md","46","ได้เงินทันที","Body promo","ADDITIONAL CONFIRMED INSTANCE","deferred","Out of F-05 URL list"
"src/content/areas/อุบลราชธานี.md","28","รับเงินทันทีเมื่อตกลงราคา","Area page body","Legitimate contextual use","no_change","Has เมื่อตกลงราคา qualifier"
"src/content/services/รับซื้อคอมพิวเตอร์.md","38","ได้เงินทันทีไหม","FAQ question","Legitimate contextual use","no_change","Question wording; answer qualifies elsewhere"
"scripts/seed-production-content.mjs","104","ประเมินฟรี จ่ายทันที","Seed script template","Generated/report file","no_change","Not live page source for F-05 targets"
"scripts/generate-production-og.mjs","20","ประเมินฟรี จ่ายทันที","OG generator subtitle","Needs review but out of scope","no_change","Not in F-05 rendered pages; OG assets not regenerated this batch"
