file,change,reason
src/pages/blog/index.astro,modified,"deterministic publication-date sorting; neutral Hero copy; Blog-specific contrast and responsive padding"
src/components/ArticleCard.astro,modified,"give each read-more link a unique accessible name"
src/content/blog/ขายโทรศัพท์มือสองใกล้ฉัน.md,modified,"correct publication date only"
src/content/blog/ขายกล้อง-sony-มือสอง-ต้องเช็กอะไรบ้าง.md,modified,"correct publication date only"
src/content/blog/mac-mini-m4-มือสอง.md,modified,"correct publication date only"
src/content/blog/แรมมือสองขายได้เท่าไหร่.md,modified,"correct publication date only"
scripts/check-blog-listing.mjs,added,"regression coverage for order dates schema canonical sitemap contrast claims tags and duplicates"
docs/batch-6-4-blog-listing-readability-hotfix/batch-6-4-baseline.md,added,"baseline and root-cause evidence"
docs/batch-6-4-blog-listing-readability-hotfix/batch-6-4-blog-order-before-after.csv,added,"top-ten order evidence"
docs/batch-6-4-blog-listing-readability-hotfix/batch-6-4-contrast-audit.csv,added,"computed style and contrast evidence"
docs/batch-6-4-blog-listing-readability-hotfix/batch-6-4-metadata-date-audit.csv,added,"frontmatter schema canonical and sitemap evidence"
docs/batch-6-4-blog-listing-readability-hotfix/batch-6-4-files-changed.csv,added,"scope inventory"
docs/batch-6-4-blog-listing-readability-hotfix/batch-6-4-qa-report.md,added,"automated and Browser QA evidence"
docs/batch-6-4-blog-listing-readability-hotfix/batch-6-4-final-report.md,added,"final handoff"
docs/batch-6-4-blog-listing-readability-hotfix/screenshots/blog-before-desktop-1440x900.png,added,"production desktop baseline"
docs/batch-6-4-blog-listing-readability-hotfix/screenshots/blog-before-mobile-390x844.png,added,"production mobile baseline"
docs/batch-6-4-blog-listing-readability-hotfix/screenshots/blog-after-desktop-1440x900.png,added,"local desktop result"
docs/batch-6-4-blog-listing-readability-hotfix/screenshots/blog-after-desktop-1920x1080.png,added,"local wide desktop QA"
docs/batch-6-4-blog-listing-readability-hotfix/screenshots/blog-after-mobile-390x844.png,added,"local mobile result"
docs/batch-6-4-blog-listing-readability-hotfix/screenshots/blog-after-mobile-360x800.png,added,"local narrow mobile QA"
