"url","source_file","page_type","field","text_before","line_or_component","finding_source","expected_action","status"
"/บริการ/รับซื้อ-notebook-acer","src/content/services/รับซื้อ-notebook-acer.md","service-page","h1","รับซื้อ Notebook Acer มือสอง Aspire Swift Nitro Predator ประเมินฟรี จ่ายทันที","frontmatter h1 line 3","F-05 audit + route-inventory","replace H1 claim with ประเมินราคาเบื้องต้นฟรี","FIXED"
"/บริการ/รับซื้อ-notebook-asus","src/content/services/รับซื้อ-notebook-asus.md","service-page","h1","รับซื้อ Notebook Asus มือสอง VivoBook ZenBook ROG TUF ประเมินฟรี จ่ายทันที","frontmatter h1 line 3","F-05 audit + route-inventory","replace H1 claim with ประเมินราคาเบื้องต้นฟรี","FIXED"
"/บริการ/รับซื้อ-notebook-dell","src/content/services/รับซื้อ-notebook-dell.md","service-page","h1","รับซื้อ Notebook Dell มือสอง Inspiron XPS Latitude Alienware ประเมินฟรี จ่ายทันที","frontmatter h1 line 3","F-05 audit + route-inventory","replace H1 claim with ประเมินราคาเบื้องต้นฟรี","FIXED"
"/บริการ/รับซื้อ-notebook-hp","src/content/services/รับซื้อ-notebook-hp.md","service-page","h1","รับซื้อ Notebook HP มือสอง Pavilion Envy Omen Victus ProBook ประเมินฟรี จ่ายทันที","frontmatter h1 line 3","F-05 audit + route-inventory","replace H1 claim with ประเมินราคาเบื้องต้นฟรี","FIXED"
"/บริการ/รับซื้อ-notebook-lenovo","src/content/services/รับซื้อ-notebook-lenovo.md","service-page","h1","รับซื้อ Notebook Lenovo มือสอง IdeaPad ThinkPad Legion ประเมินฟรี จ่ายทันที","frontmatter h1 line 3","F-05 audit + route-inventory","replace H1 claim with ประเมินราคาเบื้องต้นฟรี","FIXED"
"/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม","src/content/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม.md","blog-article","intro","ตรวจเครื่องหน้างาน จ่ายเงินทันที","body line 24","F-05 / content-quality CLAIM:pay-immediate","qualify payment after final price agreement","FIXED"
"/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม","src/content/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม.md","blog-article","bullet","จ่ายเงินสดหรือโอนทันทีเมื่อตกลง","body line 30","F-05 related body bullet","clarify after inspection + agreement","FIXED"
"/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม","src/content/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม.md","blog-article","faq_answer","จ่ายทันทีหลังตรวจเครื่องและตกลงราคาหน้างาน ไม่มีค่าใช้จ่ายแอบแฝง","faqs line 16","F-05 listed blog; already qualified","keep (legitimate contextual use)","NO_CHANGE"
"/blog/ราคา-ipad-มือสอง-2026","src/content/blog/ราคา-ipad-มือสอง-2026.md","blog-article","cta_paragraph","ประเมินเร็ว จ่ายเงินทันที","body line 96","F-05 / content-quality CLAIM:pay-immediate","qualify CTA payment wording","FIXED"
"/blog/ราคา-macbook-มือสอง-2026","src/content/blog/ราคา-macbook-มือสอง-2026.md","blog-article","cta_paragraph","ประเมินเร็ว จ่ายเงินทันที","body line 122","F-05 / content-quality CLAIM:pay-immediate","qualify CTA payment wording","FIXED"
