url,group_id,unique_value_present,unique_value_types,location_specific_value,service_specific_value,product_specific_value,process_specific_value,shipping_or_meetup_value,district_or_area_value,original_faq_value,original_example_value,business_value,user_value,evidence
"/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=222; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-ขอนแก่น","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=216; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-ชัยภูมิ","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=219; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-นครพนม","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=216; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-นครราชสีมา","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=222; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-บึงกาฬ","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=219; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-บุรีรัมย์","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=219; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-มหาสารคาม","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=216; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-มุกดาหาร","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=219; template_family=G-SA-รับซื้อของสะสม; trust=no"
"/รับซื้อ/รับซื้อของสะสม-ยโสธร","G-SA-รับซื้อของสะสม","low","province-name-swap;district-list;cta-to-hub","district-list-only","service-label-in-template","n/a","generic-eval-steps","generic-conditional-pickup","yes-list","layout-faq-possible","none","low-uncertain","low","visible_words=216; template_family=G-SA-รับซื้อของสะสม; trust=no"
