url,page_type,title_flag,description_flag,classification,title_action,description_action,evidence,gsc_available,risk,decision
"/blog/airpods-แบตเสื่อม-ข้างหนึ่งดังเบา-ขายได้ไหม","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/iphone-ติด-icloud-ลืม-apple-id-ก่อนขาย","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/macbook-ติด-apple-id-find-my-ก่อนขาย","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/กล้อง-fujifilm-รุ่นเก่า-ยังขายได้ไหม","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/การ์ดจอมีผลต่อราคาคอมมือสองแค่ไหน","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/การ์ดจอเคยขุด-ขายได้ไหม-เช็กอย่างไร","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ขาย-macbook-มือสอง-อย่างไรให้ได้ราคาดี","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ขายโทรศัพท์มือสองใกล้ฉัน","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ขายโน๊ตบุ๊คเก่าให้ได้ราคาดี-ต้องเช็กอะไรบ้าง","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ควรขายของไอทีตอนไหน-ให้ได้ราคาดีที่สุด","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/คอมบริษัทเก่า-ขายแบบไหนให้เคลียร์ง่าย","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ถ่ายรูปสินค้าไอทีให้ร้านประเมินราคาเร็ว","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ราคา-ipad-มือสอง-2026","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ราคา-macbook-มือสอง-2026","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ร้านรับซื้อไอที-เช็กอะไรบ้างก่อนตีราคา","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/ลบข้อมูลก่อนขาย-ทำยังไงให้กู้ไม่ได้","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/วิธีล้างเครื่อง-macbook-ก่อนขาย","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/วิธีเช็ก-battery-health-iphone-ก่อนขาย","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/วิธีเช็กสเปกคอมก่อนขาย","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/blog/โน๊ตบุ๊คเปิดไม่ติด-ขายได้ไหม","blog-article","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
"/บริการ/รับซื้อ-asus-tuf-gaming","service-page","LONG","OK","KEEP_VALID_LONG_TITLE","KEEP","KEEP","critical_terms_front_loaded_length_signal_only;desc_not_flagged","no","none","KEEP"
